category,id,date,location,total_sale,nooflots,lot,title,descr,measures,empty,estimated,realized
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 1,AN ATTIC BLACK-FIGURED TREFOIL-LIPPED OINOCHOE,"ATTRIBUTED TO THE GELA PAINTER, CIRCA 510-490 B.C.",6 3⁄4 in. (17.2 cm.) high,,"estimate £6,000 - £8,000($7,956 - $10,608) ","price realized £8,125  ($10,749)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 2,A GREEK MEGARIAN WARE POTTERY BOWL,"HELLENISTIC PERIOD, CIRCA 2ND CENTURY B.C.",5 5⁄8 in. (14.2 cm.) diameter,,estimate £400 - £600($530 - $795) ,"price realized £1,500  ($1,985)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 3,AN ATTIC WHITE-GROUND LEKYTHOS,CIRCA MID 5TH CENTURY B.C.,11 1⁄2 in. (29.2 cm.) high,,"estimate £8,000 - £12,000($10,608 - $15,912) ","price realized £18,750  ($24,806)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 5,SEVEN GREEK TERRACOTTAS,"HELLENISTIC PERIOD, CIRCA 3RD-2ND CENTURY B.C.",4 3⁄8 in. (11 cm.) long max.,,"estimate £2,500 - £3,500($3,315 - $4,641) ","price realized £4,375  ($5,788)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 6,AN ETRUSCAN BRONZE HANDLE FRAGMENT,CIRCA 5TH-4TH CENTURY B.C.,8 3⁄8 in. (21.3 cm.) high,,"estimate £1,500 - £2,500($1,989 - $3,315) ","price realized £2,500  ($3,308)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 7,AN ATTIC BLACK-FIGURED HYDRIA,"ATTRIBUTED TO THE LEAGROS GROUP, CIRCA 520-510 B.C.",19 1⁄2 in. (49.5 cm.) high,,"estimate £60,000 - £80,000($79,560 - $106,080) ","price realized £118,750  ($157,106)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 8,AN ETRUSCAN BRONZE MIRROR,CIRCA 3RD-2ND CENTURY B.C.,7 13⁄16 in. (19.9 cm.) high,,"estimate £1,500 - £2,000($1,989 - $2,652) ","price realized £4,000  ($5,292)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 10,A GREEK BRONZE DANCING SATYR,"HELLENISTIC PERIOD, CIRCA 2ND CENTURY B.C.",3 3⁄4 in. (9.5 cm.) high,,"estimate £6,000 - £8,000($7,956 - $10,608) ","price realized £6,875  ($9,096)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 11,AN ETRUSCAN BRONZE VOTIVE FEMALE FIGURE,CIRCA EARLY 5TH CENTURY B.C.,4 3⁄8 in. (11 cm.) high,,"estimate £4,000 - £6,000($5,304 - $7,956) ","price realized £6,875  ($9,096)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 12,AN ATTIC RED-FIGURED NOLAN AMPHORA,"ATTRIBUTED TO HERMONAX, CIRCA 470 B.C.",13 3⁄16 in. (33.5 cm.) high,,"estimate £70,000 - £90,000($92,820 - $119,340) ","price realized £387,500  ($512,663)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 13,TWO PAIRS OF GREEK AND ROMAN GOLD EARRINGS,CIRCA 2ND CENTURY B.C. - 2ND CENTURY A.D.,2 in. (5 cm.) long max.,,"estimate £2,000 - £3,000($2,652 - $3,978) ","price realized £10,625  ($14,057)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 16,FIVE PAIRS OF ROMAN GOLD EARRINGS,CIRCA 1ST-3RD CENTURY A.D.,5⁄7 in. (1.7 cm.) wide max.,,"estimate £1,500 - £2,500($1,989 - $3,315) ","price realized £6,875  ($9,096)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 17,A GROUP OF GREEK GOLD JEWELLERY,CIRCA 3RD-1ST CENTURY B.C.,Diadem: 9 in. (23 cm.) long,,"estimate £1,000 - £1,500($1,326 - $1,989) ","price realized £4,750  ($6,284)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 19,AN EGYPTIAN CORE-FORMED GLASS AMPHORISKOS,"NEW KINGDOM, 19TH DYNASTY, CIRCA 1292-1185 B.C.",4 3⁄8 in. (11 cm.) high,,"estimate £15,000 - £25,000($19,890 - $33,150) ","price realized £175,000  ($231,525)"
