index_id,category,auction_id,date,location,original_currency,total_sale,nooflots,lot,title,descr,measures,min_estimated,max_estimated,realized
0,Antiquities,19876,8 December 2021,London,GBP,6407750,152,1,AN ATTIC BLACK-FIGURED TREFOIL-LIPPED OINOCHOE,"ATTRIBUTED TO THE GELA PAINTER, CIRCA 510-490 B.C.",6 3⁄4 in. (17.2 cm.) high,6000,8000,8125
1,Antiquities,19876,8 December 2021,London,GBP,6407750,152,2,A GREEK MEGARIAN WARE POTTERY BOWL,"HELLENISTIC PERIOD, CIRCA 2ND CENTURY B.C.",5 5⁄8 in. (14.2 cm.) diameter,400,600,1500
2,Antiquities,19876,8 December 2021,London,GBP,6407750,152,3,AN ATTIC WHITE-GROUND LEKYTHOS,CIRCA MID 5TH CENTURY B.C.,11 1⁄2 in. (29.2 cm.) high,8000,12000,18750
3,Antiquities,19876,8 December 2021,London,GBP,6407750,152,5,SEVEN GREEK TERRACOTTAS,"HELLENISTIC PERIOD, CIRCA 3RD-2ND CENTURY B.C.",4 3⁄8 in. (11 cm.) long max.,2500,3500,4375
4,Antiquities,19876,8 December 2021,London,GBP,6407750,152,6,AN ETRUSCAN BRONZE HANDLE FRAGMENT,CIRCA 5TH-4TH CENTURY B.C.,8 3⁄8 in. (21.3 cm.) high,1500,2500,2500
5,Antiquities,19876,8 December 2021,London,GBP,6407750,152,7,AN ATTIC BLACK-FIGURED HYDRIA,"ATTRIBUTED TO THE LEAGROS GROUP, CIRCA 520-510 B.C.",19 1⁄2 in. (49.5 cm.) high,60000,80000,118750
6,Antiquities,19876,8 December 2021,London,GBP,6407750,152,8,AN ETRUSCAN BRONZE MIRROR,CIRCA 3RD-2ND CENTURY B.C.,7 13⁄16 in. (19.9 cm.) high,1500,2000,4000
7,Antiquities,19876,8 December 2021,London,GBP,6407750,152,10,A GREEK BRONZE DANCING SATYR,"HELLENISTIC PERIOD, CIRCA 2ND CENTURY B.C.",3 3⁄4 in. (9.5 cm.) high,6000,8000,6875
8,Antiquities,19876,8 December 2021,London,GBP,6407750,152,11,AN ETRUSCAN BRONZE VOTIVE FEMALE FIGURE,CIRCA EARLY 5TH CENTURY B.C.,4 3⁄8 in. (11 cm.) high,4000,6000,6875
9,Antiquities,19876,8 December 2021,London,GBP,6407750,152,12,AN ATTIC RED-FIGURED NOLAN AMPHORA,"ATTRIBUTED TO HERMONAX, CIRCA 470 B.C.",13 3⁄16 in. (33.5 cm.) high,70000,90000,387500
10,Antiquities,19876,8 December 2021,London,GBP,6407750,152,13,TWO PAIRS OF GREEK AND ROMAN GOLD EARRINGS,CIRCA 2ND CENTURY B.C. - 2ND CENTURY A.D.,2 in. (5 cm.) long max.,2000,3000,10625
11,Antiquities,19876,8 December 2021,London,GBP,6407750,152,16,FIVE PAIRS OF ROMAN GOLD EARRINGS,CIRCA 1ST-3RD CENTURY A.D.,5⁄7 in. (1.7 cm.) wide max.,1500,2500,6875
12,Antiquities,19876,8 December 2021,London,GBP,6407750,152,17,A GROUP OF GREEK GOLD JEWELLERY,CIRCA 3RD-1ST CENTURY B.C.,Diadem: 9 in. (23 cm.) long,1000,1500,4750
13,Antiquities,19876,8 December 2021,London,GBP,6407750,152,19,AN EGYPTIAN CORE-FORMED GLASS AMPHORISKOS,"NEW KINGDOM, 19TH DYNASTY, CIRCA 1292-1185 B.C.",4 3⁄8 in. (11 cm.) high,15000,25000,175000
14,Antiquities,19876,8 December 2021,London,GBP,6407750,152,20,A ROMAN MARBLED GLASS FLASK,CIRCA 1ST CENTURY A.D.,13 1⁄2 in. (34.3 cm.) high,8000,12000,32500
15,Antiquities,19876,8 December 2021,London,GBP,6407750,152,21,FOUR EASTERN MEDITERRANEAN AND ROMAN GLASS VESSELS,CIRCA 4TH CENTURY B.C.-4TH CENTURY A.D.,3 1⁄2 in. (9 cm.) cm high max.,3000,4000,8750
16,Antiquities,19876,8 December 2021,London,GBP,6407750,152,22,A LATE ROMAN GLASS JAR,CIRCA 4TH-5TH CENTURY A.D.,3 1⁄2 in. (9 cm.) high,1500,2500,16250
17,Antiquities,19876,8 December 2021,London,GBP,6407750,152,23,THREE ROMAN GLASS VESSELS,CIRCA 1ST-5TH CENTURY A.D.,4 1⁄2 in. (11.5 cm.) high max.,1000,1500,2000
18,Antiquities,19876,8 December 2021,London,GBP,6407750,152,24,SIX ROMAN AND ISLAMIC GLASS VESSELS,CIRCA 1ST-10TH CENTURY A.D.,6 1⁄2 in. (16.5 cm.) high max.,2000,3000,5000
19,Antiquities,19876,8 December 2021,London,GBP,6407750,152,25,TWO LATE ROMAN GLASS VESSELS,CIRCA 4TH-5TH CENTURY A.D.,7 1⁄4 in. (18.5 cm.) high max.,1500,2500,8750
20,Antiquities,19876,8 December 2021,London,GBP,6407750,152,26,TWO LATE ROMAN GLASS FLASKS,CIRCA 4TH-5TH CENTURY A.D.,12 1⁄4 in. (31 cm.) high max.,3000,4000,8750
21,Antiquities,19876,8 December 2021,London,GBP,6407750,152,27,A CYCLADIC MARBLE HEAD,"EARLY SPEDOS VARIETY, EARLY CYCLADIC II, CIRCA 2600-2500 B.C.",2 in. (5 cm.) high,8000,12000,22500
22,Antiquities,19876,8 December 2021,London,GBP,6407750,152,29,A CYCLADIC MARBLE SHALLOW LUG BOWL,"GROTTA-PELOS CULTURE, CIRCA 3000-2800 B.C.",9 1⁄4 in. (23.5 cm.) diam.,5000,8000,1750
23,Antiquities,19876,8 December 2021,London,GBP,6407750,152,30,A CYCLADIC MARBLE PALETTE,"EARLY CYCLADIC I, CIRCA 3200-2700 B.C.",8 in. (20.4 cm.) long,4000,6000,5250
24,Antiquities,19876,8 December 2021,London,GBP,6407750,152,32,A CYCLADIC MARBLE KANDILA,"EARLY CYCLADIC I, CIRCA 3200-2700 B.C.",6 1⁄2 in. (16.4 cm.) high,5000,7000,9375
25,Antiquities,19876,8 December 2021,London,GBP,6407750,152,33,A CYCLADIC POTTERY LIDDED PYXIS,"EARLY CYCLADIC II, CIRCA 2800-2300 B.C.",5 3⁄4 in. (14.6 cm.) diam.; 5 1⁄2 in. (14 cm.) high,5000,7000,10625
26,Antiquities,19876,8 December 2021,London,GBP,6407750,152,35,TWO CYCLADIC POTTERY PYXIDES,"EARLY CYCLADIC I, CIRCA 3200-2700 B.C.",5 1⁄2 in. (14 cm.) diam. max.,7000,9000,1375
27,Antiquities,19876,8 December 2021,London,GBP,6407750,152,36,A CYCLADIC MARBLE BOWL,"EARLY CYCLADIC II, CIRCA 2700-2200 B.C.",4 13⁄16 in. (12.3 cm.) diam.,2000,3000,2750
28,Antiquities,19876,8 December 2021,London,GBP,6407750,152,37,FOUR CYCLADIC MARBLE BOWLS,"EARLY CYCLADIC I-II, CIRCA 3200-2300 B.C.",5 3⁄8 in. (13.6 cm.) diam. max.,3000,5000,3500
29,Antiquities,19876,8 December 2021,London,GBP,6407750,152,38,A MINOAN SERPENTINE OIL LAMP,"MINOAN III-MIDDLE MINOAN II, CIRCA 2000 B.C.",9 3⁄16 in. (23.3 cm.) wide incl. handles,7000,9000,6250
30,Antiquities,19876,8 December 2021,London,GBP,6407750,152,39,A MINOAN TERRACOTTA VOTIVE FIGURE OF A MAN,"MIDDLE MINOAN, CIRCA 2000-1700 B.C.",5 7⁄8 in. (14.9 cm.) high,4000,6000,9375
31,Antiquities,19876,8 December 2021,London,GBP,6407750,152,40,A MYCENAEAN POTTERY KYLIX,"LATE HELLADIC III, CIRCA 1300 B.C.",7 1⁄4 in. (18.5 cm.) high,6000,8000,17500
32,Antiquities,19876,8 December 2021,London,GBP,6407750,152,41,A MYCENAEAN PAINTED TERRACOTTA ENTHRONED FIGURE,"LATE HELLADIC III, CIRCA 1400-1100 B.C.",2 1⁄2 in. (6.5 cm.) high,3000,5000,3000
33,Antiquities,19876,8 December 2021,London,GBP,6407750,152,42,A GREEK TERRACOTTA FIGURE,CIRCA LATE 6TH CENTURY B.C.,2 3⁄4 in. (7 cm.) long,1000,1500,2750
